longitude,latitude,dist,latlon
121.475439,31.210429,黄浦,"121.475439,31.210429"
121.5857302,31.11811042,浦东,"121.5857302,31.11811042"
121.566263,31.248693,浦东,"121.566263,31.248693"
121.459686,31.240443,静安,"121.459686,31.240443"
121.478518,31.261412,闸北,"121.478518,31.261412"
121.5760625,31.11879328,浦东,"121.5760625,31.11879328"
121.697178,31.271405,浦东,"121.697178,31.271405"
121.539201,31.154299,浦东,"121.539201,31.154299"
121.5315071,31.22249571,浦东,"121.5315071,31.22249571"
121.241032,31.066142,松江,"121.241032,31.066142"
121.159395,31.16793,青浦,"121.159395,31.16793"
121.46034,31.286871,闸北,"121.46034,31.286871"
121.390902,31.111342,闵行,"121.390902,31.111342"
121.557044,31.252797,浦东,"121.557044,31.252797"
121.619963,31.297808,浦东,"121.619963,31.297808"
121.533546,31.308766,杨浦,"121.533546,31.308766"
121.517975,30.83236,奉贤,"121.517975,30.83236"
121.525044,31.217551,浦东,"121.525044,31.217551"
121.545257,31.053874,闵行,"121.545257,31.053874"
121.410608,31.074569,闵行,"121.410608,31.074569"
121.582051,31.155619,浦东,"121.582051,31.155619"
121.416472,31.01961,闵行,"121.416472,31.01961"
121.520333,31.214787,浦东,"121.520333,31.214787"
121.542044,31.198949,浦东,"121.542044,31.198949"
121.9234559,30.88920718,浦东,"121.9234559,30.88920718"
121.2533748,31.03720476,松江,"121.2533748,31.03720476"
121.580856,31.242993,浦东,"121.580856,31.242993"
121.389936,31.319567,宝山,"121.389936,31.319567"
121.488825,31.215942,黄浦,"121.488825,31.215942"
121.2713501,31.3517821,嘉定,"121.2713501,31.3517821"
121.3899921,31.09641501,闵行,"121.3899921,31.09641501"
121.516351,31.285665,杨浦,"121.516351,31.285665"
121.514066,31.236233,浦东,"121.514066,31.236233"
121.423549,31.229773,长宁,"121.423549,31.229773"
121.549245,31.190442,浦东,"121.549245,31.190442"
121.4365694,31.3586347,宝山,"121.4365694,31.3586347"
121.5424904,31.24862669,浦东,"121.5424904,31.24862669"
121.3097285,31.2939994,嘉定,"121.3097285,31.2939994"
121.518192,31.168272,浦东,"121.518192,31.168272"
121.193758,31.050438,松江,"121.193758,31.050438"
121.472448,31.19983,徐汇,"121.472448,31.19983"
